,name,cmc,legalities,reprint,set,set_type,rarity,prices
139,"Ajani, Strength of the Pride",4.0,legal,False,m20,core,mythic,11.74
140,"Ajani, Valiant Protector",6.0,legal,False,aer,expansion,mythic,
141,"Ajani, Wise Counselor",5.0,legal,False,m19,core,mythic,
142,"Ajani, the Greathearted",4.0,legal,False,war,expansion,rare,1.34
143,Akoum Firebird,4.0,legal,False,bfz,expansion,mythic,0.23
144,Akoum Flameseeker,3.0,legal,False,ogw,expansion,common,0.01
145,Akoum Hellkite,6.0,legal,True,gn2,box,rare,0.29
146,Akoum Stonewaker,2.0,legal,False,bfz,expansion,uncommon,0.03
147,Akroan Conscriptor,5.0,legal,False,bng,expansion,uncommon,0.17
148,Akroan Crusader,1.0,legal,True,uma,masters,common,0.09
149,Akroan Hoplite,2.0,legal,True,cn2,draft_innovation,uncommon,0.12
150,Akroan Horse,4.0,legal,True,c16,commander,rare,0.32
151,Akroan Jailer,1.0,legal,False,ori,core,common,0.03
152,Akroan Line Breaker,3.0,legal,False,jou,expansion,uncommon,0.09
153,Akroan Mastiff,4.0,legal,False,jou,expansion,common,0.02
154,Akroan Phalanx,4.0,legal,False,bng,expansion,uncommon,0.04
155,Akroan Sergeant,3.0,legal,False,ori,core,common,0.02
156,Akroan Skyguard,2.0,legal,False,bng,expansion,common,0.13
157,Alabaster Kirin,4.0,legal,False,ktk,expansion,common,0.03
158,Alchemist's Greeting,5.0,legal,True,c19,commander,common,0.04
159,Alchemist's Vial,2.0,legal,False,ori,core,common,0.18
160,"Alela, Artful Provocateur",4.0,legal,False,eld,expansion,mythic,3.03
161,Alesha's Vanguard,4.0,legal,False,frf,expansion,common,0.02
162,"Alesha, Who Smiles at Death",3.0,legal,True,c20,commander,rare,0.14
163,Alhammarret's Archive,5.0,legal,True,c21,commander,mythic,6.03
164,"Alhammarret, High Arbiter",7.0,legal,False,ori,core,rare,0.23
165,Aligned Hedron Network,4.0,legal,False,bfz,expansion,rare,0.15
166,"Alirios, Enraptured",3.0,legal,False,thb,expansion,uncommon,0.02
167,Alive // Well,5.0,legal,False,dgm,expansion,uncommon,0.09
168,All That Glitters,2.0,legal,False,eld,expansion,uncommon,0.97
169,Alley Evasion,1.0,legal,False,aer,expansion,common,0.03
170,Alley Strangler,3.0,legal,False,aer,expansion,common,0.05
171,Allied Reinforcements,4.0,legal,False,ogw,expansion,uncommon,0.08
172,Allure of the Unknown,5.0,legal,False,thb,expansion,rare,0.10
173,Ally Encampment,0.0,legal,False,bfz,expansion,rare,0.23
174,Alms Beast,4.0,legal,False,gtc,expansion,rare,0.10
175,Alms of the Vein,3.0,legal,False,soi,expansion,common,0.19
176,Alpha Authority,2.0,legal,False,gtc,expansion,uncommon,1.12
177,Alpine Grizzly,3.0,legal,False,ktk,expansion,common,0.11
178,Alpine Moon,1.0,legal,False,m19,core,rare,6.49
179,Alseid of Life's Bounty,1.0,legal,False,thb,expansion,uncommon,0.25
180,Altac Bloodseeker,2.0,legal,False,m15,core,uncommon,0.07
181,Altar of the Brood,1.0,legal,False,ktk,expansion,rare,5.16
182,Altar of the Pantheon,3.0,legal,False,thb,expansion,common,0.07
183,Altar's Reap,2.0,legal,True,cma,commander,common,0.26
184,Order of Midnight // Alter Fate,2.0,legal,False,eld,expansion,uncommon,0.09
185,Altered Ego,4.0,legal,False,soi,expansion,rare,0.81
186,Always Watching,3.0,legal,True,gnt,box,rare,1.48
187,Amaranthine Wall,4.0,legal,False,dom,expansion,uncommon,0.21
188,Ambitious Aetherborn,5.0,legal,False,kld,expansion,common,0.02
189,Ambuscade,3.0,legal,False,hou,expansion,common,0.07
190,Ambuscade Shaman,3.0,legal,False,dtk,expansion,uncommon,0.10
191,Ambush Krotiq,6.0,legal,False,frf,expansion,common,0.02
192,Ammit Eternal,3.0,legal,False,hou,expansion,rare,0.29
193,Amphin Pathmage,4.0,legal,False,m15,core,common,0.05
194,Amplifire,4.0,legal,False,rna,expansion,rare,0.10
195,Ampryn Tactician,4.0,legal,False,ori,core,common,0.03
196,Amulet of Safekeeping,2.0,legal,False,m19,core,rare,0.11
197,"Anafenza, Kin-Tree Spirit",2.0,legal,False,dtk,expansion,rare,1.53
198,"Anafenza, the Foremost",3.0,legal,False,ktk,expansion,mythic,1.45
199,Anax and Cymede,3.0,legal,False,ths,expansion,rare,0.22
200,"Anax, Hardened in the Forge",3.0,legal,False,thb,expansion,uncommon,0.12
201,Ancestral Blade,2.0,legal,True,cmr,draft_innovation,common,0.01
202,Ancestral Statue,4.0,legal,True,jmp,draft_innovation,common,0.13
203,Ancestral Vengeance,2.0,legal,False,frf,expansion,common,0.02
204,Anchor to the Aether,3.0,legal,False,ori,core,uncommon,0.08
205,Ancient Animus,2.0,legal,True,cmr,draft_innovation,common,0.02
206,Ancient Brontodon,8.0,legal,False,xln,expansion,common,0.10
207,Ancient Carp,5.0,legal,False,dtk,expansion,common,0.02
208,Ancient Crab,3.0,legal,True,akh,expansion,common,0.02
209,Ancient Silverback,6.0,legal,True,m15,core,uncommon,0.06
210,Autumnal Gloom // Ancient of the Equinox,3.0,legal,False,soi,expansion,uncommon,0.09
211,Angel of Condemnation,4.0,legal,False,hou,expansion,rare,0.33
212,Angel of Deliverance,8.0,legal,False,soi,expansion,rare,0.15
213,Angel of Grace,5.0,legal,False,rna,expansion,mythic,0.77
214,Angel of Invention,5.0,legal,False,kld,expansion,mythic,2.67
215,Angel of Renewal,6.0,legal,False,bfz,expansion,uncommon,0.10
216,Angel of Sanctions,5.0,legal,True,c19,commander,mythic,0.33
217,Angel of Serenity,7.0,legal,True,c21,commander,mythic,0.39
218,Angel of Vitality,3.0,legal,False,m20,core,uncommon,1.03
219,Angel of the Dawn,5.0,legal,True,cmr,draft_innovation,common,0.01
220,Angel of the God-Pharaoh,6.0,legal,False,hou,expansion,uncommon,0.12
221,Angel's Tomb,3.0,legal,True,ori,core,uncommon,0.10
222,Angelic Accord,4.0,legal,True,ima,masters,uncommon,1.07
223,Angelic Captain,5.0,legal,False,bfz,expansion,rare,0.11
224,Angelic Edict,5.0,legal,True,jmp,draft_innovation,common,0.03
225,Angelic Exaltation,4.0,legal,False,rna,expansion,uncommon,0.08
226,Angelic Gift,2.0,legal,True,afc,commander,common,0.03
227,Angelic Guardian,6.0,legal,True,m20,core,rare,6.51
228,Angelic Purge,3.0,legal,False,soi,expansion,common,0.10
229,Angelic Skirmisher,6.0,legal,False,gtc,expansion,rare,1.64
230,Angelic Wall,2.0,legal,True,m14,core,common,0.13
231,Anger of the Gods,3.0,legal,True,ima,masters,rare,0.85
232,Angler Drake,6.0,legal,False,akh,expansion,uncommon,0.07
233,Angler Turtle,7.0,legal,False,g18,box,rare,
234,Angrath's Ambusher,3.0,legal,False,rix,expansion,uncommon,0.18
235,Angrath's Fury,5.0,legal,False,rix,expansion,rare,0.23
236,Angrath's Marauders,7.0,legal,False,xln,expansion,rare,0.92
237,Angrath's Rampage,2.0,legal,False,war,expansion,uncommon,0.23
238,"Angrath, Captain of Chaos",4.0,legal,False,war,expansion,uncommon,0.12
239,"Angrath, Minotaur Pirate",6.0,legal,False,rix,expansion,mythic,
240,"Angrath, the Flame-Chained",5.0,legal,False,rix,expansion,mythic,5.12
241,Anguished Unmaking,3.0,legal,False,soi,expansion,rare,7.64
242,Animating Faerie // Bring to Life,3.0,legal,False,eld,expansion,uncommon,0.03
243,Animation Module,1.0,legal,False,kld,expansion,rare,0.73
244,Animist's Awakening,1.0,legal,True,c20,commander,rare,0.82
245,Ankle Shanker,5.0,legal,True,c16,commander,rare,0.23
246,Annihilating Fire,3.0,legal,False,rtr,expansion,common,0.03
247,Annul,1.0,legal,True,khm,expansion,common,0.03
248,Anointed Deacon,5.0,legal,False,xln,expansion,common,0.02
249,Anointed Procession,4.0,legal,False,akh,expansion,rare,40.99
250,Anointer Priest,2.0,legal,False,akh,expansion,common,0.12
251,Anointer of Champions,1.0,legal,True,e01,archenemy,uncommon,0.09
252,"Anthousa, Setessan Hero",5.0,legal,False,ths,expansion,rare,0.09
253,Anticipate,2.0,legal,True,iko,expansion,common,0.02
254,Anvilwrought Raptor,4.0,legal,True,m20,core,common,0.02
255,Apex of Power,10.0,legal,True,afc,commander,mythic,0.49
256,"Aphemia, the Cacophony",2.0,legal,False,thb,expansion,rare,0.13
257,Apocalypse Demon,6.0,legal,False,hou,expansion,rare,0.18
258,Apostle of Purifying Light,2.0,legal,False,m20,core,uncommon,0.11
259,Apothecary Geist,4.0,legal,False,soi,expansion,common,0.03
260,Appeal // Authority,3.0,legal,False,hou,expansion,uncommon,0.10
261,Appetite for the Unnatural,3.0,legal,False,kld,expansion,common,0.07
262,Applied Biomancy,2.0,legal,False,rna,expansion,common,0.04
263,Approach of the Second Sun,7.0,legal,False,akh,expansion,rare,1.06
264,Aquatic Incursion,4.0,legal,False,rix,expansion,uncommon,0.11
265,Aqueous Form,1.0,legal,True,cmr,draft_innovation,common,0.21
266,Aquus Steed,4.0,legal,False,rtr,expansion,uncommon,0.03
267,Aradara Express,5.0,legal,False,kld,expansion,common,0.13
268,Arashin Cleric,2.0,legal,False,frf,expansion,common,0.07
269,Arashin Foremost,3.0,legal,False,dtk,expansion,rare,0.27
270,Arashin Sovereign,7.0,legal,False,dtk,expansion,rare,0.17
271,Arashin War Beast,7.0,legal,False,frf,expansion,uncommon,0.03
272,Arasta of the Endless Web,4.0,legal,False,thb,expansion,rare,0.97
273,Arbiter of the Ideal,6.0,legal,False,bng,expansion,rare,0.23
274,Arbor Armament,1.0,legal,True,jmp,draft_innovation,common,0.04
275,Arbor Colossus,5.0,legal,True,c15,commander,rare,0.19
276,Arborback Stomper,5.0,legal,False,kld,expansion,uncommon,0.08
277,Arboreal Grazer,1.0,legal,False,war,expansion,common,0.23
278,Arboretum Elemental,9.0,legal,False,grn,expansion,uncommon,0.05
279,Arc Lightning,3.0,legal,True,ktk,expansion,uncommon,0.09
280,"Arcades, the Strategist",4.0,legal,False,m19,core,mythic,2.51
281,Arcane Adaptation,3.0,legal,False,xln,expansion,rare,3.84
282,Arcane Encyclopedia,3.0,legal,True,jmp,draft_innovation,uncommon,0.18
283,Arcane Flight,1.0,legal,False,dom,expansion,common,0.08
284,Arcane Signet,2.0,legal,True,nec,commander,common,0.99
285,Arcanist's Owl,4.0,legal,True,nec,commander,uncommon,0.24
286,Arcbond,3.0,legal,False,frf,expansion,rare,0.35
287,Arch of Orazca,0.0,legal,False,rix,expansion,rare,0.84
288,Archaeomancer,4.0,legal,True,uma,masters,common,0.28
289,"Archangel Avacyn // Avacyn, the Purifier",5.0,legal,False,soi,expansion,mythic,4.62
290,Archangel of Thune,5.0,legal,True,2xm,masters,mythic,24.65
291,Archangel of Tithes,4.0,legal,False,ori,core,mythic,13.44
292,Archers of Qarsi,4.0,legal,False,frf,expansion,common,0.05
293,Archers' Parapet,2.0,legal,False,ktk,expansion,common,0.06
294,Archetype of Aggression,3.0,legal,False,bng,expansion,uncommon,0.67
295,Archetype of Courage,3.0,legal,False,bng,expansion,uncommon,1.02
296,Archetype of Endurance,8.0,legal,False,bng,expansion,uncommon,1.22
297,Archetype of Finality,6.0,legal,False,bng,expansion,uncommon,1.21
298,Archetype of Imagination,6.0,legal,True,c18,commander,uncommon,1.34
299,Archfiend of Depravity,5.0,legal,True,e01,archenemy,rare,3.64
300,Archfiend of Ifnir,5.0,legal,False,akh,expansion,rare,1.78
301,Architect of the Untamed,3.0,legal,False,kld,expansion,rare,0.13
302,Archon of Absolution,4.0,legal,False,eld,expansion,uncommon,0.20
303,Archon of Falling Stars,6.0,legal,False,thb,expansion,uncommon,0.01
304,Archon of Sun's Grace,4.0,legal,False,thb,expansion,rare,0.35
305,Archon of the Triumvirate,7.0,legal,False,rtr,expansion,rare,0.12
306,Archway Angel,6.0,legal,False,rna,expansion,uncommon,0.10
307,Archweaver,7.0,legal,False,rtr,expansion,uncommon,0.10
308,Arclight Phoenix,4.0,legal,False,grn,expansion,mythic,6.49
309,Ardenvale Paladin,4.0,legal,False,eld,expansion,common,0.01
310,Ardenvale Tactician // Dizzying Swoop,3.0,legal,False,eld,expansion,common,0.01
311,Arena Athlete,2.0,legal,True,uma,masters,common,0.02
312,Arena Trickster,4.0,legal,False,thb,expansion,common,0.01
313,Arguel's Blood Fast // Temple of Aclazotz,2.0,legal,False,xln,expansion,rare,0.42
314,Arisen Gorgon,3.0,legal,False,m19,core,uncommon,0.36
315,"Arlinn Kord // Arlinn, Embraced by the Moon",4.0,legal,False,soi,expansion,mythic,9.23
316,Arlinn's Wolf,3.0,legal,False,war,expansion,common,0.05
317,"Arlinn Kord // Arlinn, Embraced by the Moon",4.0,legal,False,soi,expansion,mythic,9.23
318,"Arlinn, Voice of the Pack",6.0,legal,False,war,expansion,uncommon,0.17
319,Armada Wurm,6.0,legal,False,rtr,expansion,mythic,0.77
320,Armament Corps,5.0,legal,False,ktk,expansion,uncommon,0.05
321,Armament of Nyx,3.0,legal,False,jou,expansion,common,0.03
322,Armed // Dangerous,6.0,legal,False,dgm,expansion,uncommon,0.09
323,Armorcraft Judge,4.0,legal,True,cmr,draft_innovation,uncommon,0.09
324,Armored Cancrix,5.0,legal,True,m14,core,common,0.04
325,Armored Transport,3.0,legal,False,gtc,expansion,common,0.01
326,Armored Wolf-Rider,5.0,legal,False,dgm,expansion,common,0.07
327,Armory Guard,4.0,legal,True,ddl,duel_deck,common,0.73
328,Armory of Iroas,2.0,legal,True,cmr,draft_innovation,common,0.01
329,Arrest,3.0,legal,True,mm2,masters,common,0.11
330,Arrester's Admonition,3.0,legal,False,rna,expansion,common,0.03
331,Arrester's Zeal,1.0,legal,False,rna,expansion,common,0.03
332,Arrow Storm,5.0,legal,False,ktk,expansion,common,0.03
333,Arrows of Justice,3.0,legal,False,gtc,expansion,uncommon,0.05
334,Arterial Flow,3.0,legal,False,rix,expansion,uncommon,0.35
335,Artful Maneuver,2.0,legal,False,dtk,expansion,common,0.05
336,Artful Takedown,4.0,legal,False,grn,expansion,common,0.02
337,Artificer's Assistant,1.0,legal,False,dom,expansion,common,0.16
338,Artificer's Epiphany,3.0,legal,True,ddu,duel_deck,common,0.09
339,Artificer's Hex,1.0,legal,False,m14,core,uncommon,0.13
340,Artisan of Forms,2.0,legal,False,ths,expansion,rare,0.16
341,Artisan's Sorrow,4.0,legal,False,ths,expansion,uncommon,0.06
342,Arvad the Cursed,5.0,legal,False,dom,expansion,uncommon,0.23
343,"Aryel, Knight of Windgrace",4.0,legal,False,dom,expansion,rare,0.32
344,As Foretold,3.0,legal,False,akh,expansion,mythic,7.15
345,Ascended Lawmage,4.0,legal,True,cn2,draft_innovation,uncommon,0.10
346,Ash Zealot,2.0,legal,False,rtr,expansion,rare,0.29
347,Ashcloud Phoenix,4.0,legal,False,ktk,expansion,mythic,0.26
348,Ashen Rider,8.0,legal,True,afc,commander,mythic,0.64
349,Ashes of the Abhorrent,2.0,legal,False,xln,expansion,rare,0.53
350,Ashiok's Adept,3.0,legal,False,bng,expansion,uncommon,0.11
351,Ashiok's Erasure,4.0,legal,False,thb,expansion,rare,0.12
352,Ashiok's Forerunner,5.0,legal,False,thb,expansion,rare,0.11
353,Ashiok's Skulker,5.0,legal,False,war,expansion,common,0.01
354,"Ashiok, Dream Render",3.0,legal,False,war,expansion,uncommon,1.53
355,"Ashiok, Nightmare Muse",5.0,legal,False,thb,expansion,mythic,4.24
356,"Ashiok, Nightmare Weaver",3.0,legal,False,ths,expansion,mythic,7.02
357,"Ashiok, Sculptor of Fears",6.0,legal,False,thb,expansion,mythic,3.52
358,Neglected Heirloom // Ashmouth Blade,1.0,legal,False,soi,expansion,uncommon,0.22
359,Aspect of Gorgon,3.0,legal,False,jou,expansion,common,0.14
360,Aspect of Hydra,1.0,legal,False,bng,expansion,common,0.21
361,Aspect of Lamprey,4.0,legal,False,thb,expansion,common,0.01
362,Aspect of Manticore,3.0,legal,False,thb,expansion,common,0.01
363,Asphodel Wanderer,1.0,legal,False,ths,expansion,common,0.02
364,Asphyxiate,3.0,legal,False,bng,expansion,common,0.04
365,Aspiring Aeronaut,4.0,legal,False,ori,core,common,0.03
366,Assassin's Strike,6.0,legal,True,jmp,draft_innovation,uncommon,0.03
367,Assassin's Trophy,2.0,legal,False,grn,expansion,rare,14.01
368,Assault Formation,2.0,legal,True,jmp,draft_innovation,rare,0.62
369,Assault Griffin,4.0,legal,True,gtc,expansion,common,0.01
370,Assure // Assemble,8.0,legal,False,grn,expansion,rare,0.11
371,Assemble the Legion,5.0,legal,False,gtc,expansion,rare,2.29
372,Assembled Alphas,6.0,legal,False,emn,expansion,rare,0.14
373,Assure // Assemble,8.0,legal,False,grn,expansion,rare,0.11
374,Astral Cornucopia,0.0,legal,True,cm2,commander,rare,2.11
375,Asylum Visitor,2.0,legal,True,c19,commander,rare,0.27
376,Atarka Beastbreaker,2.0,legal,False,dtk,expansion,common,0.01
377,Atarka Efreet,4.0,legal,False,dtk,expansion,common,0.02
378,Atarka Monument,3.0,legal,False,dtk,expansion,uncommon,0.13
379,Atarka Pummeler,5.0,legal,False,dtk,expansion,uncommon,0.04
380,Atarka's Command,2.0,legal,False,dtk,expansion,rare,2.41
381,"Atarka, World Render",7.0,legal,True,afc,commander,rare,0.25
382,"Atemsis, All-Seeing",6.0,legal,False,m20,core,rare,0.21
383,"Athreos, God of Passage",3.0,legal,False,jou,expansion,mythic,8.92
384,"Athreos, Shroud-Veiled",6.0,legal,True,prm,promo,mythic,
385,"Atris, Oracle of Half-Truths",4.0,legal,False,thb,expansion,rare,0.17
386,Attendant of Vraska,3.0,legal,False,grn,expansion,uncommon,0.13
387,Attune with Aether,1.0,legal,False,kld,expansion,common,0.08
388,"Journey to Eternity // Atzal, Cave of Eternity",3.0,legal,False,rix,expansion,rare,5.34
389,Atzocan Archer,3.0,legal,False,xln,expansion,uncommon,0.03
390,Atzocan Seer,3.0,legal,False,rix,expansion,uncommon,0.30
391,Audacious Infiltrator,2.0,legal,False,aer,expansion,common,0.01
